# Bend, Stretch, theta1, theta1_predicted, error1, theta2, theta2_predicted, error2
54.34,13.91,30.23,34.83,4.59,17.58,11.47,6.11
58.23,13.91,31.34,28.87,2.46,21.11,19.17,1.94
65.69,18.55,34.83,58.35,23.52,34.52,19.13,15.39
68.61,18.55,36.28,32.54,3.73,39.43,55.33,15.90
70.59,18.55,39.41,32.68,6.72,49.54,66.80,17.25
73.28,23.53,41.12,43.00,1.89,54.86,85.55,30.69
74.25,23.53,45.89,44.87,1.02,70.47,85.48,15.01
75.77,25.77,47.25,49.31,2.06,75.47,99.07,23.60
76.72,25.77,48.40,48.70,0.30,80.41,101.33,20.92
80.44,27.67,50.70,51.25,0.55,94.76,109.23,14.47
81.03,27.67,50.99,51.82,0.82,99.28,109.72,10.44
81.28,27.67,51.79,52.05,0.26,110.04,109.93,0.10
81.88,29.16,52.59,54.22,1.63,117.29,111.22,6.07
81.31,29.16,52.74,53.69,0.96,119.15,110.85,8.30
80.61,29.75,52.94,53.49,0.55,120.75,113.46,7.29
81.45,29.75,53.72,54.49,0.77,124.66,112.43,12.23
80.52,30.47,53.92,56.27,2.35,125.88,127.89,2.00
80.67,30.47,54.36,56.24,1.88,127.82,127.88,0.06
82.00,30.47,54.84,56.59,1.75,128.65,123.55,5.10
82.83,31.30,55.75,64.62,8.87,130.75,120.24,10.51
83.83,31.30,56.08,64.30,8.23,131.33,120.06,11.27
89.39,31.86,56.45,60.03,3.58,131.83,126.47,5.36
98.86,31.86,57.43,55.94,1.49,133.16,130.81,2.35
95.39,32.52,57.82,57.73,0.09,133.45,131.05,2.40
95.62,32.52,58.20,57.71,0.49,133.83,131.18,2.65
101.42,32.52,58.44,57.27,1.17,133.99,134.48,0.49
99.91,32.67,59.20,57.75,1.46,134.21,134.15,0.07
100.11,32.67,59.42,57.73,1.69,134.23,134.26,0.03
94.67,32.80,59.30,59.63,0.33,134.34,130.84,3.50
92.73,32.80,59.31,62.92,3.62,134.20,129.23,4.98
93.73,32.70,59.48,60.28,0.81,134.08,130.67,3.41
90.38,32.70,59.63,66.31,6.68,133.88,125.28,8.59
112.41,32.77,59.87,60.90,1.03,133.35,134.10,0.74
102.55,32.77,59.85,57.76,2.08,133.15,135.96,2.81
91.78,32.48,59.95,61.62,1.66,132.86,128.63,4.23
101.22,32.48,60.03,57.21,2.82,132.77,134.26,1.49
100.52,32.48,60.03,57.26,2.77,132.68,133.86,1.18
93.17,32.42,59.91,59.01,0.90,132.68,130.17,2.51
101.66,32.42,59.80,57.03,2.77,132.67,134.25,1.57
103.02,32.42,59.19,56.96,2.23,132.65,132.94,0.29
92.03,32.28,58.95,59.48,0.53,132.43,129.66,2.77
99.11,32.28,57.92,56.90,1.02,131.51,132.37,0.86
94.56,31.67,57.24,56.00,1.24,130.61,127.21,3.39
88.42,31.67,54.23,60.26,6.03,124.13,125.52,1.38
93.09,29.34,52.94,50.35,2.58,120.21,115.70,4.52
93.64,29.34,51.48,50.23,1.25,115.41,115.57,0.16
94.41,29.34,46.27,50.07,3.80,97.63,115.73,18.11
90.06,22.98,44.59,33.45,11.15,90.98,89.06,1.92
84.67,22.98,41.26,37.03,4.22,76.67,77.64,0.97
78.50,19.98,39.69,32.28,7.42,69.66,71.74,2.08
74.45,19.98,35.79,36.89,1.11,51.08,67.11,16.03
61.77,16.84,34.90,50.71,15.81,45.81,12.09,33.72
58.59,16.84,34.02,44.64,10.62,41.03,9.87,31.15
55.95,16.84,31.86,43.42,11.56,28.33,12.69,15.64
53.05,16.84,31.24,40.12,8.88,24.99,14.68,10.30
49.81,16.84,30.09,37.53,7.44,19.59,11.33,8.26
33.95,12.34,29.43,30.01,0.58,17.51,12.21,5.30
33.80,12.34,27.12,30.13,3.00,13.10,12.23,0.87
36.83,12.34,26.33,28.00,1.67,12.14,12.81,0.67
34.14,10.22,25.52,24.01,1.52,11.17,11.49,0.31
33.77,10.22,23.29,24.28,0.99,9.47,11.23,1.77
30.06,9.11,22.57,23.09,0.52,9.11,10.65,1.54
28.17,9.11,21.94,23.73,1.79,8.74,11.06,2.32
25.67,7.97,20.67,18.14,2.53,7.34,12.83,5.48
23.69,7.97,20.37,19.36,1.01,6.83,13.35,6.51
21.17,7.97,19.94,20.08,0.14,5.97,12.96,6.99
16.75,6.23,19.72,17.10,2.62,5.56,10.32,4.76
14.08,6.23,19.19,18.37,0.82,4.43,7.06,2.63
12.56,5.39,19.09,19.97,0.88,4.18,3.60,0.58
11.42,5.39,18.94,19.68,0.74,3.94,4.44,0.50
10.94,4.58,18.40,11.54,6.85,3.48,12.34,8.86
11.95,4.58,18.23,14.59,3.64,3.40,8.93,5.54
12.34,4.58,17.95,15.97,1.98,3.24,7.55,4.31
13.72,3.91,17.78,14.37,3.41,3.21,10.12,6.91
14.62,3.91,17.28,14.74,2.53,3.07,10.05,6.98
15.77,3.55,17.13,15.02,2.11,3.06,8.21,5.15
16.20,3.55,17.08,15.06,2.02,3.03,8.19,5.16
17.56,3.36,17.04,16.12,0.92,2.96,6.34,3.38
17.91,3.36,17.15,16.00,1.15,2.95,6.34,3.39
17.83,3.36,17.60,16.02,1.58,3.06,6.34,3.28
18.95,3.27,17.87,15.50,2.37,3.20,5.86,2.66
18.67,3.27,18.69,15.56,3.14,3.78,5.75,1.97
20.81,4.16,18.97,13.27,5.70,4.03,13.25,9.22
23.09,4.16,19.40,11.85,7.55,4.31,14.25,9.94
25.98,5.03,20.32,13.17,7.15,4.72,15.82,11.10
28.28,5.03,20.66,13.43,7.23,4.92,13.34,8.43
31.45,5.03,23.00,12.80,10.20,6.43,11.77,5.34
33.81,7.50,24.09,20.89,3.20,7.36,11.54,4.18
32.67,7.50,25.26,20.26,4.99,8.49,11.30,2.81
40.02,10.34,29.13,23.04,6.09,13.95,11.91,2.04
46.08,10.34,30.26,28.05,2.20,17.19,11.93,5.26
57.06,14.31,32.60,36.61,4.01,24.96,10.03,14.93
60.02,14.31,33.71,24.30,9.40,29.39,37.68,8.30
62.41,14.31,36.59,24.81,11.79,44.66,48.46,3.79
67.20,19.19,37.55,44.32,6.76,50.10,36.27,13.83
69.02,19.19,38.71,34.49,4.23,55.29,54.58,0.70
69.59,21.67,41.57,39.16,2.40,72.09,65.46,6.63
70.31,21.67,42.40,39.05,3.35,77.71,66.19,11.52
76.95,24.66,43.94,48.93,4.98,88.49,95.87,7.38
78.95,24.66,44.50,45.07,0.56,93.65,94.22,0.57
80.36,24.66,45.99,42.40,3.59,108.45,92.01,16.44
84.66,26.97,46.26,47.34,1.08,112.86,104.02,8.84
83.41,26.97,46.95,48.58,1.63,116.34,108.87,7.47
85.42,28.77,49.30,53.94,4.64,124.89,111.53,13.36
86.81,28.77,50.20,51.58,1.38,127.08,110.87,16.21
83.50,31.12,51.15,62.92,11.78,128.98,121.55,7.42
94.78,31.12,53.64,54.85,1.21,133.45,125.00,8.45
94.73,31.12,54.36,54.86,0.50,134.30,124.95,9.35
89.61,32.33,55.12,64.20,9.08,135.74,125.39,10.35
98.80,32.33,55.49,57.03,1.54,136.13,132.35,3.78
100.88,32.42,56.00,57.09,1.09,137.06,133.85,3.20
92.23,32.42,56.03,60.40,4.37,137.24,129.56,7.68
105.11,32.73,56.32,58.02,1.70,137.33,134.71,2.61
103.20,32.73,57.10,57.64,0.54,137.54,135.67,1.86
92.08,32.73,57.26,63.37,6.11,137.54,128.29,9.25
108.14,32.66,58.10,59.08,0.98,137.44,133.79,3.64
101.61,32.66,58.16,57.58,0.58,137.41,135.06,2.35
97.17,33.17,58.70,59.68,0.98,137.19,133.63,3.56
105.06,33.17,58.69,58.68,0.01,137.10,138.07,0.97
95.22,32.94,58.77,59.89,1.12,136.98,131.09,5.89
84.14,32.94,58.33,78.36,20.03,136.61,115.14,21.47
105.75,32.94,57.95,58.58,0.63,136.53,136.10,0.44
94.34,32.69,57.56,59.29,1.74,136.44,130.65,5.79
92.38,32.69,57.21,62.50,5.29,136.34,128.98,7.36
104.09,32.22,55.33,56.82,1.49,135.61,131.12,4.49
102.70,32.22,54.59,56.53,1.94,135.10,131.47,3.63
97.44,30.86,53.74,53.74,0.00,134.48,124.35,10.13
97.08,30.86,51.04,53.82,2.78,130.81,124.49,6.32
99.91,30.86,49.83,53.34,3.52,129.08,123.87,5.21
95.20,28.08,46.99,46.62,0.37,124.57,110.12,14.45
97.11,28.08,45.44,46.15,0.71,121.87,112.27,9.60
98.11,28.08,40.42,46.20,5.78,111.71,115.62,3.91
95.50,22.67,38.62,35.74,2.88,107.83,124.81,16.98
93.02,22.67,37.00,34.48,2.53,103.53,107.08,3.55
86.92,19.70,33.01,28.10,4.91,89.00,106.24,17.24
83.27,19.70,32.08,28.41,3.67,83.86,85.37,1.52
74.45,17.41,30.66,24.83,5.84,72.89,71.69,1.20
70.34,17.41,30.14,26.81,3.33,67.16,67.44,0.29
67.27,17.41,28.57,27.25,1.33,50.14,59.84,9.70
57.47,14.34,28.05,36.74,8.69,44.78,9.96,34.82
51.09,14.34,27.55,34.14,6.59,39.52,13.86,25.66
44.25,11.34,25.82,24.49,1.33,25.37,12.29,13.08
38.14,11.34,25.29,26.00,0.72,21.49,13.31,8.18
26.12,7.88,24.73,17.79,6.94,18.12,12.27,5.84
27.86,7.88,23.09,17.54,5.55,11.23,11.53,0.30
26.91,7.88,22.57,17.68,4.89,9.71,11.87,2.16
23.55,5.47,21.69,14.77,6.92,7.74,16.46,8.72
23.19,5.47,21.36,14.83,6.53,6.99,16.41,9.43
23.98,4.66,20.24,12.53,7.71,5.45,16.45,11.00
21.83,4.66,19.91,12.40,7.51,5.10,16.40,11.30
18.64,3.64,19.71,15.05,4.65,4.71,8.58,3.87
18.30,3.64,19.21,15.16,4.05,3.66,8.58,4.92
17.84,3.64,19.01,15.10,3.91,3.40,8.62,5.23
16.78,2.86,18.62,16.92,1.70,2.98,4.66,1.69
16.62,2.86,18.48,16.84,1.64,2.89,4.57,1.68
16.11,2.50,18.01,16.17,1.84,2.63,4.91,2.29
16.36,2.50,17.86,16.08,1.77,2.59,5.00,2.41
15.58,2.33,17.67,15.48,2.19,2.64,5.33,2.69
15.59,2.33,17.39,15.48,1.90,2.69,5.33,2.64
16.16,2.33,17.08,15.43,1.65,2.88,5.39,2.51
16.03,2.39,16.96,15.70,1.26,2.96,5.21,2.25
16.80,2.39,16.86,15.49,1.36,3.07,5.43,2.36
17.28,2.38,16.58,15.32,1.26,3.42,5.61,2.19
18.83,2.38,16.68,15.10,1.58,3.56,5.94,2.38
22.38,2.48,17.00,14.66,2.34,3.94,6.76,2.82
25.39,2.48,17.23,14.43,2.80,4.30,7.27,2.96
27.75,2.48,18.08,14.93,3.16,6.31,6.72,0.40
27.89,2.48,18.36,15.12,3.24,7.33,6.45,0.88
29.25,2.48,18.73,16.89,1.84,8.46,5.58,2.88
31.03,4.09,19.05,11.35,7.70,13.89,10.87,3.02
35.77,4.09,19.08,15.13,3.95,16.29,5.32,10.97
39.92,4.09,19.07,15.78,3.29,22.17,4.60,17.57
49.95,6.17,19.03,18.60,0.43,26.14,8.14,17.99
53.16,6.17,19.03,20.29,1.26,42.52,42.28,0.24
55.52,6.17,19.06,21.96,2.89,49.78,63.56,13.78
66.62,7.88,19.21,18.57,0.63,57.50,63.31,5.81
68.84,7.88,19.27,18.81,0.46,82.98,65.84,17.13
77.38,9.48,19.30,15.44,3.87,91.39,76.25,15.15
84.30,10.30,19.55,16.80,2.75,106.08,95.75,10.33
87.02,10.30,19.64,16.63,3.00,112.40,104.96,7.44
90.92,11.17,19.87,18.00,1.88,125.64,126.59,0.95
91.61,11.17,19.96,18.19,1.77,128.62,127.63,0.99
93.56,11.17,20.14,18.74,1.40,130.94,130.52,0.42
96.09,12.16,20.58,18.08,2.50,135.99,130.31,5.69
96.05,12.16,20.75,18.07,2.69,137.33,130.26,7.07
102.14,12.66,21.17,19.03,2.14,139.56,135.53,4.02
106.23,12.66,21.37,19.89,1.47,140.51,136.28,4.22
111.95,13.56,22.16,19.17,2.99,142.96,136.37,6.59
115.33,13.56,22.51,19.50,3.01,143.62,138.02,5.59
121.33,13.56,22.81,19.66,3.15,144.31,142.38,1.93
126.59,14.61,23.69,19.07,4.62,145.99,140.76,5.23
130.19,14.61,23.98,19.27,4.71,146.32,142.86,3.45
134.03,14.61,24.44,19.31,5.12,146.90,145.32,1.58
133.25,15.22,24.59,18.80,5.79,147.16,141.56,5.60
131.77,15.22,24.59,18.67,5.91,147.25,140.96,6.29
127.45,15.20,24.41,18.12,6.29,147.15,140.00,7.16
115.27,15.20,24.19,15.69,8.51,146.92,135.55,11.37
116.31,14.02,23.12,18.89,4.23,145.55,137.45,8.10
112.83,14.02,22.69,18.28,4.41,144.81,136.73,8.08
105.25,14.02,21.78,16.74,5.04,143.13,135.21,7.93
102.20,14.02,21.42,16.02,5.41,142.08,133.08,9.00
101.61,14.02,20.36,16.01,4.34,134.99,131.97,3.02
99.12,12.12,20.01,19.12,0.89,130.41,133.89,3.48
95.30,12.12,19.76,17.91,1.85,124.63,129.53,4.90
88.86,12.12,19.13,17.71,1.42,100.28,117.91,17.62
67.11,9.34,18.92,19.38,0.46,90.68,86.87,3.81
62.41,9.34,18.56,14.51,4.05,71.22,72.36,1.13
55.05,7.38,18.43,18.90,0.47,62.30,24.65,37.65
51.61,7.38,18.25,19.10,0.85,41.37,8.35,33.02
43.88,6.05,18.22,18.63,0.41,36.90,6.83,30.07
41.97,6.05,18.23,18.45,0.22,30.53,6.99,23.54
39.81,6.05,18.22,19.02,0.80,27.93,7.00,20.93
32.92,4.94,18.21,13.77,4.44,21.42,11.23,10.19
30.05,4.94,18.22,12.11,6.11,19.56,12.27,7.30
25.23,3.98,18.17,10.18,7.99,17.87,12.41,5.46
25.06,3.98,17.99,10.09,7.90,13.48,12.46,1.03
24.84,3.27,17.92,14.62,3.30,12.17,7.61,4.56
23.34,3.27,17.85,14.65,3.21,11.21,7.29,3.92
24.11,3.27,17.59,14.63,2.96,8.85,7.45,1.40
22.61,2.30,17.44,14.57,2.86,8.19,6.67,1.52
24.52,2.30,17.11,14.43,2.68,7.07,6.99,0.08
26.12,2.30,16.94,14.23,2.70,6.59,7.18,0.60
25.78,1.94,16.37,13.51,2.86,5.62,6.39,0.78
25.09,1.94,16.18,13.64,2.54,5.35,6.23,0.88
24.09,1.59,15.97,13.08,2.90,5.16,5.32,0.16
22.75,1.59,15.65,13.33,2.32,4.61,5.22,0.61
18.70,1.28,15.61,13.87,1.74,4.40,4.31,0.09
17.03,1.28,15.61,14.41,1.20,4.12,4.47,0.34
16.17,1.28,15.60,14.69,0.91,4.03,4.57,0.54
14.36,1.17,15.73,15.03,0.70,3.73,4.53,0.79
14.02,1.17,15.76,15.14,0.61,3.70,4.57,0.87
12.42,1.25,15.78,15.31,0.47,3.67,4.42,0.75
11.52,1.25,15.83,15.37,0.46,3.70,4.30,0.61
11.89,1.38,15.80,15.40,0.40,3.76,4.41,0.66
11.53,1.38,15.86,15.42,0.44,3.99,4.37,0.38
11.25,1.38,15.96,15.44,0.51,4.11,4.33,0.22
15.45,1.59,16.11,15.19,0.92,4.29,4.94,0.65
16.80,1.59,16.81,15.07,1.74,5.17,5.09,0.08
23.98,1.67,17.04,13.27,3.77,5.68,5.51,0.17
23.75,1.67,17.57,13.31,4.26,7.28,5.50,1.78
16.84,2.75,17.77,16.56,1.21,8.44,4.87,3.57
23.80,2.75,18.16,14.64,3.53,13.12,7.18,5.94
28.86,2.75,18.14,15.84,2.30,15.29,5.81,9.48
38.55,5.16,18.10,19.24,1.13,17.77,5.69,12.08
42.20,5.16,17.96,17.71,0.25,27.39,6.56,20.83
47.17,6.33,17.94,18.54,0.60,31.58,7.62,23.96
50.33,6.33,17.93,18.59,0.67,41.73,8.44,33.29
58.20,7.73,17.89,18.77,0.88,47.76,51.73,3.97
61.16,7.73,18.03,18.47,0.43,68.56,59.15,9.40
64.00,7.73,18.09,18.76,0.68,75.95,62.42,13.53
70.44,9.44,18.17,17.90,0.27,83.09,74.17,8.92
72.86,9.44,18.50,16.36,2.14,103.37,71.90,31.47
76.58,10.22,18.60,17.88,0.72,109.15,92.59,16.56
79.28,10.22,18.91,17.07,1.84,118.69,89.11,29.58
86.06,11.30,19.06,17.86,1.20,122.49,116.05,6.44
87.50,11.30,19.74,17.81,1.93,131.71,118.74,12.98
89.30,11.30,19.98,17.80,2.18,134.12,122.21,11.91
92.25,11.30,20.18,18.21,1.97,136.19,127.93,8.26
96.17,11.30,21.07,19.20,1.87,140.73,134.15,6.58
101.72,12.97,21.40,18.35,3.05,141.85,135.36,6.49
104.53,12.97,22.00,18.87,3.12,143.84,135.91,7.92
111.72,12.97,22.32,19.82,2.50,144.64,138.65,5.99
113.12,14.08,23.27,18.20,5.06,146.45,136.78,9.67
117.03,14.08,23.49,18.87,4.62,147.00,137.63,9.37
121.72,14.08,23.71,19.36,4.34,147.41,139.80,7.60
124.22,14.61,24.14,18.85,5.28,148.55,139.54,9.01
125.86,14.61,24.25,19.00,5.24,148.70,140.38,8.32
121.45,15.05,24.24,17.53,6.71,149.07,138.54,10.53
112.34,15.05,24.17,15.40,8.77,149.19,134.85,14.34
117.27,15.16,23.67,16.36,7.31,148.97,136.58,12.40
122.47,15.16,23.31,17.44,5.87,148.63,138.72,9.92
125.02,15.16,23.00,17.85,5.15,148.21,139.52,8.70
109.02,14.42,21.73,16.44,5.30,146.37,135.68,10.69
101.36,14.42,21.19,13.82,7.36,145.36,129.89,15.47
102.92,12.86,20.23,18.76,1.47,142.79,135.84,6.96
100.56,12.86,19.85,18.30,1.55,141.15,134.71,6.45
92.03,11.61,19.02,17.72,1.30,131.07,126.22,4.86
90.48,11.61,18.76,17.71,1.04,123.88,123.31,0.58
88.86,11.61,18.55,17.77,0.77,115.06,120.25,5.19
68.73,9.95,17.98,16.89,1.09,84.29,96.78,12.49
61.66,9.95,17.81,13.44,4.38,73.35,67.23,6.13
50.77,7.20,17.47,19.00,1.53,51.46,8.18,43.27
44.72,7.20,17.33,14.94,2.40,41.66,28.28,13.38
32.30,5.17,16.94,13.26,3.69,22.44,11.66,10.78
28.41,5.17,16.72,13.50,3.22,18.96,13.55,5.42
25.84,5.17,16.57,13.13,3.45,16.27,16.44,0.16
24.22,3.05,16.00,14.71,1.28,10.84,7.46,3.39
23.69,3.05,15.72,14.75,0.97,9.68,7.37,2.32
22.84,2.33,15.21,14.57,0.64,8.15,6.73,1.41
22.22,2.33,15.00,14.62,0.38,7.63,6.62,1.01
23.42,2.11,14.46,14.33,0.13,6.38,6.56,0.18
24.52,2.11,14.31,14.12,0.18,6.04,6.63,0.58
26.38,2.11,14.13,13.78,0.36,5.82,6.73,0.91
26.45,1.72,13.68,13.94,0.27,5.07,7.87,2.80
25.92,1.72,13.56,13.16,0.40,4.87,7.89,3.02
25.19,1.59,13.43,12.95,0.48,4.53,7.34,2.81
23.92,1.59,13.35,13.11,0.24,4.36,5.31,0.95
22.50,1.25,13.24,12.62,0.61,3.78,4.33,0.55
22.28,1.25,13.27,12.66,0.60,3.61,4.31,0.70
22.06,1.25,13.31,12.70,0.61,3.43,4.28,0.86
20.83,0.92,13.37,12.33,1.04,2.98,3.40,0.42
19.80,0.92,13.41,12.69,0.72,2.83,3.39,0.56
19.41,0.84,13.56,12.64,0.92,2.57,3.20,0.62
19.14,0.84,13.61,12.73,0.89,2.50,3.21,0.71
18.91,0.83,13.68,12.77,0.92,2.33,3.18,0.85
18.20,0.83,13.69,13.00,0.70,2.31,3.27,0.96
17.75,0.83,13.72,13.14,0.58,2.29,3.32,1.03
18.20,0.83,13.68,13.00,0.68,2.38,3.27,0.89
17.33,0.83,13.61,13.28,0.33,2.44,3.37,0.93
18.11,0.86,13.54,13.10,0.44,2.51,3.35,0.85
17.66,0.86,13.38,13.25,0.13,2.84,3.41,0.57
18.17,0.95,13.32,13.29,0.03,2.98,3.56,0.58
19.59,0.95,13.37,12.82,0.55,3.40,3.47,0.07
19.62,0.95,13.54,12.81,0.73,3.68,3.47,0.21
22.97,1.44,14.75,12.95,1.80,5.02,4.85,0.17
24.23,1.44,15.42,12.77,2.65,5.60,6.45,0.85
22.03,3.81,16.23,10.86,5.38,6.22,11.95,5.73
28.12,6.47,19.24,18.27,0.97,8.02,12.71,4.68
28.92,6.47,20.46,18.24,2.22,8.73,12.41,3.68
29.92,8.58,22.99,19.80,3.19,10.33,12.12,1.79
27.70,8.58,24.30,22.22,2.07,11.00,11.02,0.02
30.41,12.50,27.84,30.95,3.11,12.48,14.35,1.87
31.19,12.50,28.99,31.28,2.28,12.86,13.67,0.81
34.56,12.50,30.21,29.89,0.31,13.25,12.29,0.96
40.28,14.73,33.61,38.05,4.44,13.51,17.95,4.44
42.48,14.73,34.69,36.34,1.65,13.36,14.85,1.49
43.42,16.44,37.07,38.70,1.63,13.27,16.08,2.81
44.83,16.44,38.42,37.61,0.81,13.26,13.98,0.72
46.45,18.41,42.08,46.20,4.12,12.95,14.09,1.14
46.55,18.41,43.32,46.20,2.88,12.88,14.07,1.19
47.45,18.41,44.51,45.81,1.30,12.90,13.31,0.41
45.66,19.56,47.73,48.44,0.71,12.77,12.80,0.04
46.45,19.56,48.54,48.41,0.13,12.70,12.66,0.03
45.72,20.02,50.05,50.76,0.71,12.51,12.86,0.35
44.55,20.02,50.67,51.35,0.68,12.53,13.65,1.12
45.28,20.47,52.13,53.30,1.17,12.65,12.89,0.24
44.94,20.47,52.56,53.41,0.85,12.72,13.20,0.47
44.73,20.47,53.08,53.47,0.39,12.77,13.39,0.62
44.77,21.08,54.25,55.31,1.06,13.10,13.83,0.73
43.84,21.08,54.68,55.15,0.47,13.22,14.58,1.36
44.28,21.42,55.47,56.21,0.74,13.44,14.69,1.25
44.03,21.42,55.84,56.17,0.33,13.46,14.85,1.38
43.38,21.52,56.42,56.41,0.01,13.65,15.39,1.74
43.53,21.52,56.62,56.44,0.19,13.63,15.29,1.66
43.67,21.52,56.71,56.46,0.25,13.67,15.21,1.54
43.28,21.56,56.83,56.57,0.26,13.63,15.52,1.89
44.38,21.56,56.87,56.74,0.13,13.59,14.84,1.25
43.83,21.28,56.64,55.63,1.01,13.40,14.77,1.37
45.05,20.88,56.50,54.87,1.63,13.28,13.33,0.05
44.81,20.88,56.27,54.84,1.43,13.11,13.54,0.43
45.23,20.25,55.19,52.27,2.92,12.44,13.03,0.59
45.88,20.25,54.62,52.04,2.58,12.19,12.84,0.65
46.69,19.20,53.89,47.47,6.42,11.95,12.75,0.79
46.36,19.20,51.01,47.46,3.55,11.24,12.81,1.57
46.48,19.20,49.87,47.46,2.40,11.03,12.79,1.75
46.41,17.95,46.31,45.02,1.29,10.40,14.20,3.79
46.25,17.95,42.81,45.11,2.29,10.06,14.36,4.30
45.23,17.09,41.83,41.62,0.21,9.91,14.55,4.64
45.03,17.09,39.24,41.80,2.56,9.39,14.79,5.39
43.92,16.02,38.32,37.46,0.85,9.27,14.52,5.25
43.48,16.02,37.34,37.80,0.47,9.20,15.15,5.95
43.17,16.02,34.55,38.05,3.50,8.89,15.67,6.77
41.95,14.52,33.46,36.37,2.91,8.88,15.27,6.39
41.89,14.52,31.26,36.42,5.17,8.84,15.35,6.50
42.12,14.52,30.25,36.24,5.99,8.73,15.05,6.33
40.28,12.67,27.74,29.88,2.14,8.47,12.67,4.20
40.03,12.67,26.91,29.98,3.07,8.34,12.79,4.45
38.75,11.55,26.19,27.21,1.02,8.15,13.22,5.07
37.86,11.55,24.29,26.18,1.89,7.55,13.53,5.98
36.00,10.48,23.73,23.57,0.16,7.44,12.73,5.29
34.86,10.48,23.17,24.28,1.11,7.35,11.97,4.62
34.17,10.48,21.41,24.75,3.34,7.02,11.45,4.43
32.31,9.33,20.96,22.82,1.86,6.88,10.61,3.74
31.62,9.33,19.79,23.07,3.27,6.83,10.63,3.80
30.53,8.39,19.25,18.95,0.30,6.73,11.72,4.99
28.92,8.39,17.72,19.20,1.48,6.47,12.13,5.67
25.52,6.95,17.23,16.23,1.00,6.27,12.17,5.90
24.73,6.95,16.72,15.81,0.92,6.14,12.36,6.23
23.59,6.03,16.09,17.18,1.09,5.92,14.76,8.84
23.17,6.03,15.86,17.15,1.29,5.87,14.73,8.86
26.64,5.08,14.74,13.27,1.47,5.43,15.19,9.76
28.72,5.08,14.35,13.48,0.87,5.26,13.17,7.91
29.97,5.08,14.13,12.92,1.22,5.06,12.49,7.44
33.38,3.64,13.31,13.22,0.09,4.48,6.66,2.19
34.00,3.64,13.28,13.65,0.37,4.26,6.16,1.90
33.08,3.08,12.91,16.59,3.68,3.81,4.08,0.27
32.72,3.08,12.78,16.46,3.68,3.60,4.08,0.48
32.50,3.08,12.24,16.39,4.15,2.96,4.08,1.12
30.86,3.19,12.07,14.84,2.77,2.77,5.78,3.01
30.34,3.19,11.90,14.65,2.76,2.57,6.26,3.69
28.67,3.38,11.20,12.96,1.75,2.09,8.70,6.61
28.56,3.38,11.05,13.03,1.99,1.94,8.66,6.72
29.02,3.56,10.81,12.24,1.43,1.67,8.84,7.17
26.75,3.56,10.75,13.56,2.81,1.58,8.36,6.79
27.12,3.56,10.41,13.30,2.89,1.42,8.45,7.02
27.47,3.66,10.30,12.58,2.28,1.42,9.19,7.77
25.08,3.66,10.14,12.46,2.32,1.47,9.59,8.12
28.86,3.73,9.67,11.69,2.03,1.61,9.77,8.16
27.22,3.73,9.53,12.00,2.47,1.67,9.93,8.26
25.11,3.81,9.39,10.91,1.52,1.74,11.30,9.56
26.78,3.81,9.09,10.98,1.89,1.86,11.05,9.19
26.69,3.81,9.08,11.00,1.92,1.87,11.06,9.19
25.62,3.81,9.14,11.19,2.05,1.82,11.16,9.34
26.48,3.81,9.19,11.05,1.86,1.80,11.08,9.27
26.66,3.72,9.41,12.23,2.83,1.76,9.87,8.11
28.22,3.72,9.50,11.94,2.44,1.77,9.68,7.91
28.98,3.72,9.64,11.72,2.08,1.74,9.67,7.93
36.72,3.33,10.12,16.20,6.08,1.72,3.66,1.94
36.39,3.33,10.46,16.01,5.54,1.86,3.64,1.79
34.77,3.75,11.60,14.25,2.65,2.22,5.65,3.43
34.19,3.75,12.20,13.79,1.59,2.50,6.17,3.67
34.09,5.52,14.21,14.68,0.47,3.34,11.00,7.65
34.73,5.52,14.93,15.61,0.68,3.70,10.08,6.38
35.20,5.52,15.66,16.42,0.76,4.12,9.33,5.21
37.61,7.72,17.57,21.52,3.94,5.14,10.88,5.74
38.28,7.72,18.05,21.39,3.34,5.49,10.67,5.18
40.25,9.47,19.23,22.08,2.85,5.92,12.16,6.24
42.20,9.47,19.83,23.94,4.11,6.18,11.71,5.53
42.44,9.47,22.23,24.23,2.00,6.62,11.59,4.97
44.38,12.44,23.10,27.51,4.41,6.73,11.70,4.98
45.38,12.44,23.96,27.39,3.43,6.82,12.10,5.28
47.08,14.50,27.00,33.32,6.32,7.16,11.59,4.43
46.64,14.50,28.00,33.20,5.20,7.35,10.99,3.65
47.86,16.22,30.41,35.03,4.62,7.50,10.30,2.80
48.00,16.22,31.73,34.93,3.21,7.50,10.15,2.64
48.53,16.22,35.75,34.82,0.92,7.74,10.12,2.38
49.38,18.06,36.99,44.43,7.44,7.81,12.44,4.63
49.59,18.06,38.11,44.52,6.42,7.89,12.62,4.73
50.38,18.89,41.44,48.32,6.88,7.87,14.60,6.73
50.52,18.89,42.58,48.56,5.97,7.93,14.65,6.72
50.45,18.89,44.41,48.45,4.03,8.26,14.64,6.38
49.58,20.05,45.33,50.16,4.84,8.38,16.09,7.71
49.88,20.05,48.35,50.31,1.96,8.59,16.60,8.01
48.97,20.55,49.36,51.90,2.54,8.73,15.12,6.39
48.55,20.55,50.36,51.84,1.48,8.87,14.36,5.49
48.14,20.89,51.23,53.63,2.40,9.02,13.88,4.85
