# Bend, Stretch, theta1, theta1_predicted, error1, theta2, theta2_predicted, error2
5.23,2.12,11.57,8.82,2.75,2.74,5.24,2.50
5.88,2.12,11.49,8.98,2.51,2.69,5.24,2.55
4.77,2.12,11.42,8.70,2.72,2.70,5.24,2.54
5.12,2.12,11.41,8.79,2.62,2.70,5.24,2.53
5.31,2.12,11.52,8.84,2.69,2.70,5.24,2.54
4.69,2.19,11.61,8.81,2.80,2.69,5.26,2.58
5.05,2.19,11.51,8.90,2.61,2.95,5.26,2.31
5.27,2.19,11.51,8.95,2.55,3.09,5.26,2.17
6.75,2.25,11.54,9.44,2.09,3.50,5.30,1.81
8.23,2.25,11.50,9.82,1.68,3.71,5.36,1.66
10.28,2.28,11.49,10.55,0.93,4.04,5.47,1.43
11.69,2.28,11.67,11.78,0.11,5.06,5.44,0.39
17.39,2.44,11.80,15.32,3.52,5.47,5.67,0.20
17.92,2.44,11.95,15.25,3.30,6.50,5.79,0.72
18.05,2.44,12.18,15.23,3.05,7.11,5.81,1.29
19.64,3.33,12.85,14.65,1.80,9.58,6.52,3.06
18.98,3.33,13.02,14.80,1.77,10.79,6.27,4.53
16.00,3.88,13.25,14.97,1.72,12.17,9.89,2.28
16.92,3.88,13.60,15.09,1.50,17.42,9.81,7.61
28.91,5.28,13.75,13.60,0.16,19.58,13.46,6.12
32.05,5.28,13.86,13.11,0.75,21.95,11.83,10.13
34.52,5.28,13.97,15.67,1.70,29.85,9.78,20.07
41.25,7.00,14.04,17.05,3.01,32.77,14.42,18.35
43.28,7.00,14.13,15.66,1.53,39.33,22.03,17.31
44.77,7.00,14.15,16.97,2.82,42.80,15.42,27.39
50.14,8.28,14.29,14.38,0.10,54.07,31.54,22.53
51.64,8.28,14.29,14.14,0.15,58.15,27.16,30.99
55.16,9.09,14.35,15.16,0.81,62.46,39.45,23.01
57.67,9.09,14.70,14.02,0.68,77.37,48.65,28.71
63.03,10.14,14.84,13.03,1.81,82.80,69.44,13.35
66.03,10.14,15.23,12.67,2.56,93.33,81.16,12.17
68.23,10.14,15.38,13.67,1.71,98.58,91.05,7.53
72.98,11.81,15.94,13.03,2.91,112.06,89.24,22.82
74.94,11.81,16.13,12.21,3.93,115.87,91.48,24.40
77.25,12.42,16.19,15.45,0.74,119.21,106.41,12.79
78.09,12.42,16.41,14.89,1.51,126.31,104.71,21.60
81.00,13.00,16.46,16.87,0.41,128.04,114.96,13.08
81.45,13.00,16.47,16.48,0.01,131.06,114.17,16.90
83.14,13.00,16.53,14.91,1.62,132.33,111.32,21.01
86.78,13.78,16.74,16.48,0.25,135.19,122.73,12.46
85.84,13.78,16.81,17.02,0.21,136.04,124.22,11.82
88.06,14.45,17.04,16.20,0.84,137.61,127.65,9.96
91.88,14.45,17.20,15.81,1.39,138.23,127.72,10.52
91.66,14.84,17.57,16.22,1.35,139.76,129.39,10.37
96.02,14.84,17.59,15.05,2.53,140.21,128.70,11.52
96.66,14.84,17.60,13.31,4.29,140.63,126.86,13.77
94.50,15.25,17.72,16.48,1.24,140.71,131.45,9.26
98.78,15.25,17.85,15.72,2.14,140.70,132.03,8.67
100.11,15.47,17.92,16.24,1.68,141.33,133.39,7.94
97.69,15.47,18.03,16.73,1.30,141.72,135.42,6.30
107.53,16.12,18.02,14.63,3.40,141.95,132.25,9.70
105.48,16.12,17.98,15.57,2.41,142.13,134.37,7.76
100.81,16.12,17.75,17.38,0.36,142.06,135.80,6.26
105.95,16.17,16.74,15.38,1.35,140.92,134.27,6.65
95.98,16.17,16.31,16.74,0.44,139.94,130.98,8.96
91.20,14.59,15.88,16.10,0.22,138.31,130.52,7.78
